EmployeeID,Grouplevel1,Grouplevel2,Grouplevel3,Grouplevel4,Grouplevel5,Grouplevel6,Grouplevel7,Grouplevel8,Grouplevel9,Grouplevel10,Grouplevel11,Grouplevel12,Grouplevel13,Grouplevel14,Grouplevel15,Grouplevel16,Grouplevel17,Grouplevel18,Grouplevel19,Grouplevel20,Grouplevel21,Grouplevel22,Grouplevel23,Grouplevel24,Grouplevel25,Grouplevel26,Grouplevel27,Grouplevel28,Grouplevel29,Grouplevel30,Grouplevel31,Grouplevel32,Grouplevel33,Grouplevel34,Grouplevel35,Grouplevel36,Grouplevel37,Grouplevel38,Grouplevel39,Grouplevel40,Grouplevel41,Grouplevel42,Grouplevel43,Grouplevel44,Grouplevel45,Grouplevel46,Grouplevel47,Grouplevel48,Grouplevel49,Grouplevel50,Grouplevel51,Grouplevel52,Grouplevel53,Grouplevel54,Grouplevel55,Grouplevel56,Grouplevel57,Grouplevel58,Grouplevel59
61561911055437,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561797269724,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561703702495,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561611546868,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561492360826,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561623786425,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561509281146,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561400144080,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561354246143,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561336516852,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
